id;class;holiday;weekends;time
1237;0;0;1;4
1238;0;0;1;3
1239;0;0;1;7
1240;0;0;1;7
1241;0;0;1;6
1242;0;0;1;6
1243;0;0;1;5
1244;0;0;1;4
1245;0;0;1;3
1246;0;0;1;2
1247;0;0;1;7
1248;0;0;1;6
1249;0;0;1;5
1250;0;0;1;4
1251;0;0;1;4
1252;0;0;1;4
1253;0;0;1;3
1254;0;0;0;7
1255;0;0;0;6
1256;0;0;0;5
1257;0;0;0;4
1258;0;0;0;3
1259;0;0;0;7
1260;0;0;0;6
1261;0;0;0;5
1262;0;0;0;4
1263;0;0;0;3
1264;0;0;1;7
1265;0;0;1;6
1266;0;0;1;6
1267;0;0;1;5
1268;0;0;1;4
1269;0;0;1;4
1270;0;0;1;4
1271;0;0;1;7
1272;0;0;1;6
1273;0;0;1;6
1274;1;0;1;5
1275;0;0;1;5
1276;0;0;1;4
1277;0;0;1;4
1278;0;0;1;3
1279;0;0;1;7
1280;0;0;1;6
1281;0;0;1;6
1282;0;0;1;5
1283;0;0;1;5
1284;0;0;1;4
1285;0;0;1;3
1286;0;0;1;7
1287;0;0;1;6
1288;0;0;1;5
1289;0;0;1;5
1290;0;0;1;4
1291;0;0;1;3
1292;0;0;1;7
1293;0;0;1;6
1294;0;0;1;5
1295;0;0;1;4
1296;0;0;1;3
1297;0;0;1;3
1298;0;0;0;7
1299;0;0;0;6
1300;0;0;0;6
1301;0;0;0;5
1302;0;0;0;4
1303;0;0;0;3
1304;0;0;0;7
1305;0;0;0;6
1306;0;0;0;6
1307;0;0;0;5
1308;0;0;0;5
1309;0;0;0;4
1310;0;0;0;3
1311;0;0;1;7
1312;0;0;1;6
1313;0;0;1;5
1314;0;0;1;4
1315;0;0;1;3
1316;0;0;1;7
1317;0;0;1;6
1318;0;0;1;6
1319;0;0;1;5
1320;0;0;1;5
1321;0;0;1;4
1322;0;0;1;3
1323;0;0;1;7
1324;0;0;1;6
1325;0;0;1;6
1326;0;0;1;5
1327;0;0;1;4
1328;0;0;1;3
1329;0;0;1;7
1330;0;0;1;6
1331;1;0;1;6
1332;0;0;1;5
1333;0;0;1;4
1334;0;0;1;4
1335;0;0;1;3
1336;0;0;1;7
1337;0;0;1;6
1338;0;0;1;6
1339;0;0;1;5
